STATION,Official Lat they sent,Official Lon they sent,Our Google Lat ,Our Google Lon,Distance between both
UGM,19.9,-75.15,20.02117,-75.11367,13.99792949
KWJ,,,35.14043,126.8101,
YHZ,44.63,-63.5,44.88506,-63.51485,28.38542974
YUX,68.78,-81.25,68.77529,-81.24069,0.64369712
CXY,40.22,-76.85,40.22084,-76.8559,0.50942643
BDL,41.93,-72.68,41.92869,-72.68388,0.35226446
HLN,46.6,-112,46.60974,-111.9901,1.32166818
HTO,19.72,-155.07,19.67086,-155.0975,6.177752897
HOM,59.63,-151.5,59.64169,-151.4905,1.403855501
HNL,21.35,-157.93,21.3329,-157.9214,2.098958338
YHO,55.45,-60.22,42.13065,-71.54118,1692.56975
CMX,,,47.16833,-88.48889,
IAH,29.97,-95.35,29.98667,-95.33812,2.178508855
HTS,38.37,-82.55,38.36844,-82.55637,0.581722593
HSV,34.65,-86.77,34.64841,-86.77494,0.485596026
HON,44.38,-98.22,44.38484,-98.22562,0.699255907
ICN,,,37.44754,126.4519,
IND,39.73,-86.27,39.7684,-86.15807,10.47875993
INN,,,47.26016,11.34938,
INL,48.57,-93.38,48.56611,-93.40305,1.750683186
YPH,58.45,-78.12,58.4718,-78.0773,3.47063458
YEV,68.3,-133.48,68.30417,-133.4828,0.477061339
YFB,63.75,-68.55,63.74669,-68.51697,1.66587895
ISP,,,40.79724,-73.10032,
JAN,32.32,-90.08,32.3101,-90.07515,1.19183578
JAX,30.48,-81.7,30.49351,-81.68019,2.420290431
NIP,30.23,-81.68,30.33218,-81.65565,11.60051731
JHW,,,42.15333,-79.25777,
CJU,,,33.50708,126.4857,
CHN,,,35.87833,127.1194,
JOE,,,62.65752,29.61495,
HNA,21.32,-158.07,21.34865,-158.0742,3.215910237
GPI,,,48.3111,-114.2542,
YKA,50.7,-120.45,50.70222,-120.4419,0.618784161
HNG,21.45,-157.77,21.39965,-157.7974,6.274554354
SFJ,,,67.0099,-50.71186,
MCI,39.32,-94.72,39.2977,-94.71629,2.500667472
YYU,49.42,-82.47,49.41152,-82.46909,0.944802308
EYW,24.55,-81.75,24.55699,-81.7574,1.078934891
NQX,24.58,-81.68,24.55506,-81.77998,10.48459198
KHB,,,48.52456,135.1686,
AKN,58.68,-156.65,58.67667,-156.6492,0.373775939
NQI,27.5,-97.82,27.50722,-97.80972,1.29322528
TYS,35.83,-83.98,35.81083,-83.99389,2.471963402
KNS,,,54.44,53.88528,
KSC,,,48.66306,21.24111,
OTZ,66.88,-162.6,66.88916,-162.6054,1.045798124
YVP,58.1,-68.42,58.09964,-68.41735,0.160695613
YGW,55.28,-77.77,55.28266,-77.76447,0.458293874
LCG,,,43.30194,-8.377222,
LSE,43.87,-91.25,43.87527,-91.26365,1.241432156
LCH,30.12,-93.22,30.12583,-93.22334,0.723504644
LND,42.82,-108.73,42.81488,-108.7297,0.569538456
LAN,42.77,-84.6,42.77621,-84.58492,1.41104062
YVC,55.15,-105.27,55.15128,-105.2621,0.520066681
LAS,36.08,-115.17,36.08499,-115.1511,1.783332567
NLC,36.33,-119.95,36.30079,-119.7829,15.3187313
LMV,,,44.10528,42.97167,
LEX,38.03,-84.6,38.0377,-84.59818,0.870632864
HLI,21.98,-159.35,21.97801,-159.3492,0.23850323
LNK,40.85,-96.75,40.84706,-96.75521,0.546611069
LNZ,,,48.23528,14.18806,
LIS,,,38.7704,-9.1291,
LIT,34.73,-92.23,34.72883,-92.22039,0.888031489
LHR,,,51.47002,-0.4542955,
YXU,43.03,-81.15,43.02809,-81.14895,0.229096654
LAX,33.93,-118.4,33.94159,-118.4085,1.509904687
SDF,38.18,-85.73,38.18611,-85.74176,1.231720335
LBB,33.65,-101.82,33.65823,-101.8244,1.003400553
LUX,,,49.62333,6.204444,
YYL,56.87,-101.08,56.86187,-101.0703,1.080099988
MCN,32.7,-83.65,32.84069,-83.6324,15.73073797
MSN,43.13,-89.33,43.13647,-89.34581,1.470517802
MAD,,,40.46396,-3.570083,
AGP,,,36.72126,-4.421266,
MAN,,,53.36256,-2.273355,
WMJ,46.38,-75.97,46.37752,-75.96475,0.488251863
MNH,,,49.48746,8.46604,
MQT,,,46.34963,-87.38728,
MRS,,,43.43667,5.215,
MCW,43.15,-93.33,43.14995,-93.33812,0.65856173
MSS,44.93,-74.85,44.93583,-74.84556,0.736756088
YMA,63.62,-135.87,63.61702,-135.8734,0.371160052
MCG,62.97,-155.62,62.95278,-155.6056,2.04943756
MFR,42.38,-122.88,42.36848,-122.8741,1.371286865
MLN,,,99,99,
MEM,35.05,-90,35.0447,-89.98166,1.770543783
NMM,32.55,-88.57,32.55247,-88.5555,1.386266972
MEI,32.33,-88.75,32.33012,-88.75181,0.170366971
MIA,25.8,-80.3,25.79655,-80.27561,2.471814662
MAF,31.95,-102.18,31.94211,-102.2124,3.180677279
MIL,,,45.56516,9.073275,
MLS,46.43,-105.87,46.42869,-105.8838,1.066624206
