Inukjuak , PQ	YPH	1953-1992
Inuvik , NT	YEV	1961-2013
Iqaluit , NT	YFB	1942-1949 1953-2010
Islip , NY	ISP	1973-2013
Jackson , MS	JAN	1943-1944 1946-2013
Jacksonville , FL	JAX	1948-2013
Jacksonville - Mil. , FL	NIP	1946-2013
Jamestown , NY	JHW	1993-2013
Jeju , Korea	CJU	1965-2013
Jeonju , Korea	CHN	1965-2013
Joensuu , Finland	JOE	1974-2013
Kalaeloa , HI	HNA	1949-2013
Kalispell , MT	GPI	1948-1952 1964-2013
Kamloops , BC	YKA	1966-2013
Kaneohe Bay , HI	HNG	1945-1948 1953-1955 1958-1964 1968-2013
Kangerlussuaq , Greenland	SFJ	1942-1949 1951-1970 19731974 1976-1981 1983-2013
Kansas City , MO	MCI	1973-2013
Kapuskasing , ON	YYU	1950-2013
Key West , FL	EYW	1945 1948-1952 1960-2013
Key West - Mil. , FL	NQX	2012-2012
Khabarovsk , Russia	KHB	1953-2012
King Salmon , AK	AKN	1942-2013
Kingsville , TX	NQI	1945 1952-1998 2001-2004 2007-2013
Knoxville , TN	TYS	1948-2013
Konstantinovka , Russia	KNS	1966-2010
Kosice , Slovakia	KSC	1974-2000 2011-2013
Kotzebue , AK	OTZ	1945-1964 1973-2013
Kuujjuaq , PQ	YVP	1942-1945 1947-1949 1955-2010
Kuujjuarapik , PQ	YGW	1957-2011
La Coruna , Spain	LCG	1974-2000
La Crosse , WI	LSE	1948-1953 1964-2013
Lake Charles , LA	LCH	1942-1944 1947 1949-2013
Lander , WY	LND	1948 1950 1959-2013
Lansing , MI	LAN	1949-1954 1959-2013
La Ronge , SK	YVC	1967-2013
Las Vegas , NV	LAS	1949-2013
Lemoore , CA	NLC	1962-1998 2007-2013
Lermontovka , Russia	LMV	1966-2010
Lexington , KY	LEX	1948-2013
Lihue , HI	HLI	1950-2013
Lincoln , NE	LNK	1943-1945 1948-1952 1955-1963 1973-2013
Linz , Austria	LNZ	1973-2013
Lisbon , Portugal	LIS	1973-2013
Little Rock , AR	LIT	1949-2013
London , England	LHR	1973-2013
London , ON	YXU	1953-2010
Los Angeles , CA	LAX	1944 1947-2013
Louisville , KY	SDF	1930-2013
Lubbock , TX	LBB	1949-2013
Luxembourg , Luxembourg	LUX	1973-2013
Lynn Lake , MB	YYL	1970-2013
Macon , GA	MCN	1942-1945 1949-2013
Madison , WI	MSN	1948-2013
Madrid , Spain	MAD	1973-2013
Malaga , Spain	AGP	1973-2013
Manchester , England	MAN	1973-2013
Maniwaki , PQ	WMJ	1955-1969 1973-1992 1994
Mannheim , Germany	MNH	1951-1955 1976-1979 1981-2000
Marquette , MI	MQT	1984-1999
Marseilles , France	MRS	1973-2013
Mason City , IA	MCW	1948-2013
Massena , NY	MSS	1949-2013
Mayo , YT	YMA	1954-1960 1963-1966 1968-1971 1974-2013
McGrath , AK	MCG	1949-1964 1973-2013
Medford , OR	MFR	1948-2013
Melnichnoe , Russia	MLN	1966-1976 1978-1996 2003-2010
Memphis , TN	MEM	1942-1944 1948-1964 1972-2013
Meridian - Mil. , MS	NMM	2012-2013
Meridian , MS	MEI	1942-1944 1949-1951 1960-2013
Miami , FL	MIA	1948-2013
Midland - Odessa , TX	MAF	1948-2013
Milan , Italy	MIL	1965-1970 1973-2013
Miles City , MT	MLS	1948-1988 1990-2013
Milwaukee , WI	MKE	1948-2013
Minneapolis - St. Paul, MN	MSP	1945-2013
Minot , ND	MOT	1949-2013
Miramar , CA	NKX	1950-2003 2005-2010
Missoula , MT	MSO	1948-2013
Mobile , AL	MOB	1948-2013
Moline , IL	MLI	1948-2013
Montgomery , AL	MGM	1948-2013
Montreal , PQ	YUL	1950-2013
Mould Bay , NT	YMD	1953-1992
Mountain View , CA	NUQ	1946-1993 1997-1999 2005-2013
Mulhouse , France	MLH	1973-2013
Muskegon , MI	MKG	1948-1952 1960-2013
Nantes , France	NTE	1973-2013
Nashville , TN	BNA	1937-1964 1970-2013
Natashquan , PQ	YNA	1969-1993 1999-2013
Nelkan , Russia	NLN	1966-2010
Newark , NJ	EWR	1948-2013
Newburgh , NY	SWF	1943-1969 1980-1988 1990-1999 2002-2013
New Orleans , LA	MSY	1946-2013
New Orleans - Mil. , LA	NBG	2013-2013
New York - Kennedy , NY	JFK	1949-2013
New York - La Guardia , NY	LGA	1949-2013
Niagara , NY	IAG	1952-1960 19631964 1969-1991 1993-2013
Nikolaevsk-on-Amur , Russia	NKA	1966-1967 1970-2010
Nishnetambovskoe , Russia	NTM	1966-2010
Nitchequon , PQ	YNI	1956-1985
Nome , AK	OME	1943-1964 1973-2013
Norfolk - Mil. , NE	OFK	1948-1951 1976-2013
Norfolk , VA	NGU	2009-2010 20122013
Norfolk , VA	ORF	1948-2013
Norman Wells , NT	YVQ	1944 1955-2013
Norsk , Russia	NSK	1966-1994 1998-2010
North Bay , ON	YYB	1950-2013
North Bend , OR	OTH	1949-1993 1997-1999 2004-2009
North Island , CA	NZY	1945-2013
North Platte , NE	LBF	1948-2013
Nurnburg , Germany	NUE	1960-1970 1973-2000
Nuuk / Godthaab , Greenland	GOH	1991-2013
Oakland , CA	OAK	1948-1964 1973-2013
Okhotsk , Russia	OKH	1966-1997 1999-2010
Oklahoma City , OK	OKC	1942-2013
Olympia , WA	OLM	1948-1993 1996-2013
Omaha , NE	OMA	1948-2013
Orland , Norway	OLA	1973-2013
Orlando - McCoy , FL	MCO	1953-1970 1973-2013
Oslo , Norway	FBU	1973-2013
Ostersund , Sweden	OSD	1974-2013
Ottawa , ON	YOW	1950-1970 1973-2010
Paducah , KY	PAH	1950-1964 1973-2013
Paris , France	PAR	1945-1946 1973-2013
Patuxent River , MD	NHK	1945-2004 2007-2013
Peace River , AB	YPE	1944-1945 1959-2013
Pendleton , OR	PDT	1938-1940 1946-2013
Pensacola , FL	NPA	1945 1953-2000 20022003 2007-2013
Penticton , BC	YYF	1953-2013
Peoria , IL	PIA	1948-1951 1957-2013
Philadelphia , PA	PHL	1946-2013
Phoenix , AZ	PHX	1948-2013
Pittsburgh , PA	PIT	1949-2013
Pocatello , ID	PIH	1943-1944 1948-2013
Pogranichnyi , Russia	PGN	1966-1976 1978-2003
Pohang , Korea	PHS	1965-2013
Point Mugu , CA	NTD	1948-1992 19951996 19981999 2007-2012
Poliny-Osipenko , Russia	POK	1966-2010
Port Arthur , TX	BPT	1949-1969 1973-2013
Portland , ME	PWM	1948-2013
Portland , OR	PDX	1941-1943 1948-2013
Posyet , Russia	PSY	1966-1976 1978-2010
Poughkeepsie , NY	POU	1974-1980 1982-1999 2002-2013
Poznan , Poland	POZ	1973-2013
Prague , Czech Rep.	PRG	1973-2013
Preobrazhenie , Russia	PBZ	1966-1976 1978-1996 1999-2010
Prescott , AZ	PRC	1948-1953 1958-1994 1999-2013
Prince Albert , SK	YPA	1953-2013
Prince George , BC	YXS	1953-2013
Prince Rupert , BC	YPR	1962-2013
Providence , RI	PVD	1948-2013
Pueblo , CO	PUB	1943-1945 1948-1977 1982-1991 1993-2013
Quantico , VA	NYG	1945-1946 1954-1971 1973-1975 19851986 1988-2013
Quebec , PQ	YQB	1953-2007
Quillayute , WA	UIL	1967-2013
Raleigh - Durham , NC	RDU	1946-2013
Rapid City , SD	RAP	1951-2013
